Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z
260,-9.16, 51.14, 29.03,0.15, 342.51, 0.00,
261,-9.16, 51.13, 29.03,0.10, 342.51, 0.00,
262,-9.16, 51.12, 29.03,0.00, 342.56, 0.00,
263,-9.16, 51.10, 29.03,359.95, 342.56, 0.00,
264,-9.16, 51.09, 29.03,359.90, 342.61, 0.00,
265,-9.16, 51.07, 29.03,359.85, 342.61, 0.00,
266,-9.16, 51.06, 29.03,359.80, 342.61, 0.00,
267,-9.16, 51.04, 29.03,359.75, 342.61, 0.00,
268,-9.16, 51.03, 29.03,359.70, 342.66, 0.00,
269,-9.16, 51.01, 29.03,359.70, 342.66, 0.00,
270,-9.16, 51.00, 29.03,359.60, 342.66, 0.00,
271,-9.16, 50.99, 29.03,359.60, 342.71, 0.00,
272,-9.16, 50.98, 29.03,359.55, 342.71, 0.00,
273,-9.16, 50.96, 29.03,359.50, 342.71, 0.00,
274,-9.16, 50.95, 29.03,359.45, 342.71, 0.00,
275,-9.16, 50.94, 29.03,359.40, 342.76, 0.00,
276,-9.16, 50.92, 29.03,359.35, 342.76, 0.00,
277,-9.16, 50.91, 29.03,359.35, 342.76, 0.00,
278,-9.16, 50.90, 29.03,359.30, 342.76, 0.00,
279,-9.16, 50.89, 29.03,359.30, 342.76, 0.00,
280,-9.16, 50.87, 29.03,359.25, 342.81, 0.00,
281,-9.16, 50.86, 29.03,359.20, 342.81, 0.00,
282,-9.16, 50.84, 29.03,359.20, 342.81, 0.00,
283,-9.16, 50.83, 29.03,359.15, 342.81, 0.00,
284,-9.16, 50.82, 29.03,359.15, 342.81, 0.00,
285,-9.16, 50.81, 29.03,359.10, 342.81, 0.00,
286,-9.16, 50.80, 29.03,359.10, 342.81, 0.00,
287,-9.16, 50.79, 29.03,359.10, 342.81, 0.00,
288,-9.16, 50.78, 29.03,359.05, 342.86, 0.00,
289,-9.16, 50.76, 29.03,359.00, 342.86, 0.00,
290,-9.16, 50.75, 29.03,359.00, 342.86, 0.00,
291,-9.16, 50.74, 29.03,359.00, 342.86, 0.00,
292,-9.16, 50.73, 29.03,358.95, 342.86, 0.00,
293,-9.16, 50.71, 29.03,358.95, 342.86, 0.00,
294,-9.16, 50.70, 29.03,358.95, 342.86, 0.00,
295,-9.16, 50.69, 29.03,358.90, 342.86, 0.00,
296,-9.16, 50.67, 29.03,358.90, 342.86, 0.00,
297,-9.16, 50.66, 29.03,358.90, 342.86, 0.00,
298,-9.16, 50.65, 29.03,358.85, 342.86, 0.00,
299,-9.16, 50.64, 29.03,358.85, 342.86, 0.00,
300,-9.16, 50.63, 29.03,358.85, 342.86, 0.00,
301,-9.16, 50.62, 29.03,358.85, 342.91, 0.00,
302,-9.16, 50.61, 29.03,358.85, 342.91, 0.00,
303,-9.16, 50.59, 29.03,358.80, 342.91, 0.00,
304,-9.16, 50.58, 29.03,358.80, 342.91, 0.00,
305,-9.16, 50.57, 29.03,358.80, 342.91, 0.00,
306,-9.16, 50.56, 29.03,358.75, 342.91, 0.00,
307,-9.16, 50.50, 29.03,358.75, 342.91, 0.00,
308,-9.16, 50.48, 29.03,358.70, 342.91, 0.00,
309,-9.16, 50.47, 29.03,358.70, 342.91, 0.00,
310,-9.16, 50.46, 29.03,358.70, 342.91, 0.00,
311,-9.16, 50.45, 29.03,358.65, 342.96, 0.00,
312,-9.16, 50.43, 29.03,358.65, 342.96, 0.00,
313,-9.16, 50.42, 29.03,358.65, 342.96, 0.00,
314,-9.16, 50.41, 29.03,358.65, 342.96, 0.00,
315,-9.16, 50.40, 29.03,358.60, 342.96, 0.00,
316,-9.16, 50.39, 29.03,358.60, 342.96, 0.00,
317,-9.16, 50.38, 29.03,358.60, 342.96, 0.00,
318,-9.16, 50.37, 29.03,358.60, 342.96, 0.00,
319,-9.16, 50.36, 29.03,358.55, 342.96, 0.00,
320,-9.16, 50.34, 29.03,358.55, 342.96, 0.00,
321,-9.16, 50.33, 29.03,358.50, 342.96, 0.00,
322,-9.16, 50.32, 29.03,358.50, 342.96, 0.00,
323,-9.16, 50.31, 29.03,358.50, 342.96, 0.00,
324,-9.16, 50.30, 29.03,358.50, 342.96, 0.00,
325,-9.16, 50.29, 29.03,358.45, 342.96, 0.00,
326,-9.16, 50.27, 29.03,358.45, 342.96, 0.00,
327,-9.16, 50.26, 29.03,358.40, 342.96, 0.00,
328,-9.16, 50.25, 29.03,358.40, 342.96, 0.00,
329,-9.16, 50.24, 29.03,358.40, 342.96, 0.00,
330,-9.16, 50.23, 29.03,358.35, 342.96, 0.00,
331,-9.16, 50.21, 29.03,358.35, 342.96, 0.00,
332,-9.16, 50.20, 29.03,358.30, 342.96, 0.00,
333,-9.16, 50.19, 29.03,358.30, 342.96, 0.00,
334,-9.16, 50.18, 29.03,358.30, 342.96, 0.00,
335,-9.16, 50.17, 29.03,358.30, 342.96, 0.00,
336,-9.16, 50.15, 29.03,358.25, 342.96, 0.00,
337,-9.16, 50.14, 29.03,358.20, 342.96, 0.00,
338,-9.16, 50.13, 29.03,358.20, 342.96, 0.00,
339,-9.16, 50.12, 29.03,358.20, 342.96, 0.00,
340,-9.16, 50.11, 29.03,358.20, 342.96, 0.00,
341,-9.16, 50.10, 29.03,358.15, 342.96, 0.00,
342,-9.16, 50.08, 29.03,358.10, 342.96, 0.00,
343,-9.16, 50.06, 29.03,358.10, 342.96, 0.00,
344,-9.16, 50.05, 29.03,358.10, 342.96, 0.00,
345,-9.16, 50.04, 29.03,358.05, 342.96, 0.00,
346,-9.16, 50.03, 29.03,358.05, 343.01, 0.00,
347,-9.16, 50.02, 29.03,358.00, 343.01, 0.00,
348,-9.16, 50.00, 29.03,358.00, 343.01, 0.00,
349,-9.16, 49.99, 29.03,358.00, 343.01, 0.00,
350,-9.16, 49.98, 29.03,357.95, 343.01, 0.00,
351,-9.16, 49.97, 29.03,357.95, 343.01, 0.00,
352,-9.16, 49.96, 29.03,357.95, 343.01, 0.00,
353,-9.16, 49.95, 29.03,357.90, 343.01, 0.00,
354,-9.16, 49.93, 29.03,357.90, 343.01, 0.00,
355,-9.16, 49.92, 29.03,357.85, 343.01, 0.00,
356,-9.16, 49.91, 29.03,357.85, 343.01, 0.00,
357,-9.16, 49.90, 29.03,357.85, 343.01, 0.00,
358,-9.16, 49.89, 29.03,357.85, 343.01, 0.00,
359,-9.16, 49.87, 29.03,357.80, 343.01, 0.00,
360,-9.16, 49.86, 29.03,357.80, 343.01, 0.00,
361,-9.16, 49.85, 29.03,357.75, 343.01, 0.00,
362,-9.16, 49.84, 29.03,357.75, 343.01, 0.00,
363,-9.16, 49.82, 29.03,357.75, 343.01, 0.00,
364,-9.16, 49.81, 29.03,357.70, 343.06, 0.00,
365,-9.16, 49.80, 29.03,357.70, 343.06, 0.00,
366,-9.16, 49.79, 29.03,357.65, 343.06, 0.00,
367,-9.16, 49.78, 29.03,357.65, 343.06, 0.00,
368,-9.16, 49.77, 29.03,357.65, 343.06, 0.00,
369,-9.16, 49.75, 29.03,357.60, 343.06, 0.00,
370,-9.16, 49.74, 29.03,357.60, 343.06, 0.00,
371,-9.16, 49.73, 29.03,357.55, 343.06, 0.00,
372,-9.16, 49.72, 29.03,357.55, 343.06, 0.00,
373,-9.16, 49.71, 29.03,357.55, 343.06, 0.00,
374,-9.16, 49.70, 29.03,357.55, 343.06, 0.00,
375,-9.16, 49.69, 29.03,357.50, 343.06, 0.00,
376,-9.16, 49.67, 29.03,357.50, 343.06, 0.00,
377,-9.16, 49.66, 29.03,357.50, 343.06, 0.00,
378,-9.16, 49.65, 29.03,357.45, 343.06, 0.00,
379,-9.16, 49.64, 29.03,357.45, 343.11, 0.00,
380,-9.16, 49.62, 29.03,357.40, 343.11, 0.00,
